_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Montag_Zeitfenster 2;/120/10601/12175/0/1083
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Montag_Zeitfenster 3;/120/10601/12175/0/1084
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Dienstag_Absenktemperatur;/120/10601/12175/0/1112
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Dienstag_Zeitfenster 1;/120/10601/12175/0/1086
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Dienstag_Zeitfenster 2;/120/10601/12175/0/1087
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Dienstag_Zeitfenster 3;/120/10601/12175/0/1088
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Mittwoch_Absenktemperatur;/120/10601/12175/0/1113
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Mittwoch_Zeitfenster 1;/120/10601/12175/0/1090
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Mittwoch_Zeitfenster 2;/120/10601/12175/0/1091
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Mittwoch_Zeitfenster 3;/120/10601/12175/0/1092
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Donnerstag_Absenktemperatur;/120/10601/12175/0/1114
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Donnerstag_Zeitfenster 1;/120/10601/12175/0/1094
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Donnerstag_Zeitfenster 2;/120/10601/12175/0/1095
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Donnerstag_Zeitfenster 3;/120/10601/12175/0/1096
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Freitag_Absenktemperatur;/120/10601/12175/0/1115
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Freitag_Zeitfenster 1;/120/10601/12175/0/1098
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Freitag_Zeitfenster 2;/120/10601/12175/0/1099
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Freitag_Zeitfenster 3;/120/10601/12175/0/1100
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Samstag_Absenktemperatur;/120/10601/12175/0/1116
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Samstag_Zeitfenster 1;/120/10601/12175/0/1102
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Samstag_Zeitfenster 2;/120/10601/12175/0/1103
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Samstag_Zeitfenster 3;/120/10601/12175/0/1104
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Sonntag_Absenktemperatur;/120/10601/12175/0/1117
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Sonntag_Zeitfenster 1;/120/10601/12175/0/1106
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Sonntag_Zeitfenster 2;/120/10601/12175/0/1107
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Sonntag_Zeitfenster 3;/120/10601/12175/0/1108
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulation Laufzeit;/120/10601/0/0/12174
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulation Pause;/120/10601/0/0/12173
_Erdg._Heizkreis_Ergänzung;/120/10101/0/0/19391
_Erdg._Heizkreis_Heizzeiten_Schaltzustand;/120/10101/12113/0/1109
_Erdg._Heizkreis_Heizzeiten_Temperatur;/120/10101/12113/0/1110
_Erdg._Heizkreis_Heizzeiten_Montag_Absenktemperatur;/120/10101/12113/0/1111
_Erdg._Heizkreis_Heizzeiten_Montag_Zeitfenster 1;/120/10101/12113/0/1082
_Erdg._Heizkreis_Heizzeiten_Montag_Zeitfenster 2;/120/10101/12113/0/1083
_Erdg._Heizkreis_Heizzeiten_Montag_Zeitfenster 3;/120/10101/12113/0/1084
_Erdg._Heizkreis_Heizzeiten_Dienstag_Absenktemperatur;/120/10101/12113/0/1112
_Erdg._Heizkreis_Heizzeiten_Dienstag_Zeitfenster 1;/120/10101/12113/0/1086
_Erdg._Heizkreis_Heizzeiten_Dienstag_Zeitfenster 2;/120/10101/12113/0/1087
_Erdg._Heizkreis_Heizzeiten_Dienstag_Zeitfenster 3;/120/10101/12113/0/1088
_Erdg._Heizkreis_Heizzeiten_Mittwoch_Absenktemperatur;/120/10101/12113/0/1113
_Erdg._Heizkreis_Heizzeiten_Mittwoch_Zeitfenster 1;/120/10101/12113/0/1090
_Erdg._Heizkreis_Heizzeiten_Mittwoch_Zeitfenster 2;/120/10101/12113/0/1091
_Erdg._Heizkreis_Heizzeiten_Mittwoch_Zeitfenster 3;/120/10101/12113/0/1092
_Erdg._Heizkreis_Heizzeiten_Donnerstag_Absenktemperatur;/120/10101/12113/0/1114
_Erdg._Heizkreis_Heizzeiten_Donnerstag_Zeitfenster 1;/120/10101/12113/0/1094
_Erdg._Heizkreis_Heizzeiten_Donnerstag_Zeitfenster 2;/120/10101/12113/0/1095
_Erdg._Heizkreis_Heizzeiten_Donnerstag_Zeitfenster 3;/120/10101/12113/0/1096
_Erdg._Heizkreis_Heizzeiten_Freitag_Absenktemperatur;/120/10101/12113/0/1115
_Erdg._Heizkreis_Heizzeiten_Freitag_Zeitfenster 1;/120/10101/12113/0/1098
_Erdg._Heizkreis_Heizzeiten_Freitag_Zeitfenster 2;/120/10101/12113/0/1099
_Erdg._Heizkreis_Heizzeiten_Freitag_Zeitfenster 3;/120/10101/12113/0/1100
_Erdg._Heizkreis_Heizzeiten_Samstag_Absenktemperatur;/120/10101/12113/0/1116
_Erdg._Heizkreis_Heizzeiten_Samstag_Zeitfenster 1;/120/10101/12113/0/1102
_Erdg._Heizkreis_Heizzeiten_Samstag_Zeitfenster 2;/120/10101/12113/0/1103
_Erdg._Heizkreis_Heizzeiten_Samstag_Zeitfenster 3;/120/10101/12113/0/1104
_Erdg._Heizkreis_Heizzeiten_Sonntag_Absenktemperatur;/120/10101/12113/0/1117
_Erdg._Heizkreis_Heizzeiten_Sonntag_Zeitfenster 1;/120/10101/12113/0/1106
_Erdg._Heizkreis_Heizzeiten_Sonntag_Zeitfenster 2;/120/10101/12113/0/1107
_Erdg._Heizkreis_Heizzeiten_Sonntag_Zeitfenster 3;/120/10101/12113/0/1108
_Erdg._Heizkreis_Rückstellzeit f. 'Kommen'-Taste;/120/10101/0/0/13796
_Erdg._Heizkreis_Vorlauf;/120/10101/0/0/12241
_Erdg._Heizkreis_Heizkurve_Schieber Position;/120/10101/0/0/12240
